time_step,lat,lon,pdop
0,80,-10,1.37583
0,80,0,1.37337
0,80,10,1.37148
0,80,20,1.37022
0,80,30,1.36963
0,80,40,1.81348
0,80,50,1.81032
0,80,60,1.80806
0,80,70,1.80675
0,80,80,1.80642
0,80,90,1.80707
0,80,100,1.80865
0,80,110,1.81107
0,80,120,1.81422
0,80,130,1.50349
0,80,140,1.50268
0,80,150,1.50196
0,80,160,1.50133
0,80,170,1.50082
0,80,180,1.50047
0,90,-180,1.50297
0,90,-170,1.50297
0,90,-160,1.50297
0,90,-150,1.50297
0,90,-140,1.50297
0,90,-130,1.50297
0,90,-120,1.50297
0,90,-110,1.50297
0,90,-100,1.50297
0,90,-90,1.50297
0,90,-80,1.50297
0,90,-70,1.50297
0,90,-60,1.50297
0,90,-50,1.50297
0,90,-40,1.50297
0,90,-30,1.50297
0,90,-20,1.50297
0,90,-10,1.50297
0,90,0,1.50297
0,90,10,1.50297
0,90,20,1.50297
0,90,30,1.50297
0,90,40,1.50297
0,90,50,1.50297
0,90,60,1.50297
0,90,70,1.50297
0,90,80,1.50297
0,90,90,1.50297
0,90,100,1.50297
0,90,110,1.50297
0,90,120,1.50297
0,90,130,1.50297
0,90,140,1.50297
0,90,150,1.50297
0,90,160,1.50297
0,90,170,1.50297
0,90,180,1.50297
1,-90,-180,1.79783
1,-90,-170,1.79783
1,-90,-160,1.79783
1,-90,-150,1.79783
1,-90,-140,1.79783
1,-90,-130,1.79783
1,-90,-120,1.79783
1,-90,-110,1.79783
1,-90,-100,1.79783
1,-90,-90,1.79783
1,-90,-80,1.79783
1,-90,-70,1.79783
1,-90,-60,1.79783
1,-90,-50,1.79783
1,-90,-40,1.79783
1,-90,-30,1.79783
1,-90,-20,1.79783
1,-90,-10,1.79783
1,-90,0,1.79783
1,-90,10,1.79783
1,-90,20,1.79783
1,-90,30,1.79783
1,-90,40,1.79783
1,-90,50,1.79783
1,-90,60,1.79783
1,-90,70,1.79783
1,-90,80,1.79783
1,-90,90,1.79783
1,-90,100,1.79783
1,-90,110,1.79783
1,-90,120,1.79783
1,-90,130,1.79783
1,-90,140,1.79783
1,-90,150,1.79783
1,-90,160,1.79783
1,-90,170,1.79783
1,-90,180,1.79783
1,-80,-180,1.8165
1,-80,-170,1.81065
1,-80,-160,1.80471
1,-80,-150,1.79887
1,-80,-140,1.79334
1,-80,-130,1.7883
1,-80,-120,1.78389
1,-80,-110,1.78024
1,-80,-100,1.77746
1,-80,-90,1.77559
1,-80,-80,1.77467
1,-80,-70,1.77471
1,-80,-60,1.77569
1,-80,-50,1.77755
1,-80,-40,1.78022
1,-80,-30,1.78364
1,-80,-20,1.78768
1,-80,-10,1.35882
1,-80,0,1.35833
1,-80,10,1.35811
1,-80,20,1.35819
1,-80,30,1.58075
1,-80,40,1.5812
1,-80,50,1.58253
1,-80,60,1.58471
1,-80,70,1.58769
1,-80,80,1.59139
1,-80,90,1.36522
1,-80,100,1.36662
1,-80,110,1.3684
1,-80,120,1.18912
1,-80,130,1.32451
1,-80,140,1.32388
1,-80,150,1.32358
1,-80,160,1.32361
1,-80,170,1.32394
1,-80,180,1.8165
1,-70,-180,1.14035
1,-70,-170,1.31064
1,-70,-160,1.52449
1,-70,-150,1.52394
1,-70,-140,1.66481
1,-70,-130,1.35898
1,-70,-120,1.78739
1,-70,-110,1.78046
1,-70,-100,1.77532
1,-70,-90,1.77205
1,-70,-80,1.38627
1,-70,-70,1.38498
1,-70,-60,1.3856
1,-70,-50,1.38811
1,-70,-40,1.39242
1,-70,-30,1.39839
1,-70,-20,1.36626
1,-70,-10,1.36459
1,-70,0,1.3632
1,-70,10,1.57683
1,-70,20,1.57404
1,-70,30,1.57284
1,-70,40,1.57335
1,-70,50,1.57563
1,-70,60,1.36364
1,-70,70,1.28505
1,-70,80,1.72469
1,-70,90,1.72442
1,-70,100,1.7265
1,-70,110,1.73084
1,-70,120,1.73736
1,-70,130,1.29532
1,-70,140,1.20977
